893;Patricia Vega;J6S-587;1/11/2023
834;Eva Núñez;Z1S-403;1/11/2023
557;Carlos Torres;U7R-975;3/11/2023;Procesado
2;José Aguilar;J5J-122;3/11/2023;Pendiente
181;Roberto Castro;J4I-762;3/11/2023;Pendiente
928;Lucía González;T5N-301;3/11/2023;Procesado
281;Javier Jiménez;L2Q-363;3/11/2023;Procesado
407;Andrés Molina;I2F-155;3/11/2023;Procesado
744;Ángel Cruz;S5L-950;3/11/2023;Procesado
296;Rosa Vargas;R5W-562;3/11/2023;Procesado
183;María Pereira;U6M-652;3/11/2023;Pendiente
26;Alejandra Chavez;W1I-568;3/11/2023;Procesado
100;Fernando Calderón;O2P-390;3/11/2023;Pendiente
902;Laura Martínez;L1G-748;3/11/2023;Procesado
701;Miguel Ortega;H4Q-380;3/11/2023;Procesado
632;Raquel Chavez;Q4D-648;3/11/2023;Procesado
678;Laura Alvarez;S3L-728;3/11/2023;Procesado
692;Pablo Núñez;B6I-749;3/11/2023;Procesado
41;Juan Santos;Y3Z-308;3/11/2023;Pendiente
747;Natalia González;V4J-649;3/11/2023;Pendiente
564;Luis Santos;T8U-514;4/11/2023;Procesado
940;José Gómez;K1J-515;4/11/2023;Pendiente
15;Alberto Hernández;I4U-940;4/11/2023;Pendiente
604;Felipe Ferreira;M6Z-219;4/11/2023;Procesado
36;Antonio Rivas;I6G-338;4/11/2023;Procesado
490;Santiago Gómez;M7G-305;4/11/2023;Pendiente
545;Rosa Santos;D8U-352;4/11/2023;Procesado
175;Mateo Rivas;V4X-378;4/11/2023;Pendiente
463;Carmen Montes;N8E-136;4/11/2023;Pendiente
524;Victoria Gómez;E3O-686;4/11/2023;Procesado
800;Gabriel Pereira;S5R-317;4/11/2023;Pendiente
629;Raquel Molina;E2C-426;4/11/2023;Pendiente
382;Luis Morales;U5F-188;4/11/2023;Pendiente
330;José Núñez;V5U-456;4/11/2023;Procesado
612;David Jiménez;D3V-682;4/11/2023;Pendiente
749;Jorge Molina;Y5A-916;4/11/2023;Procesado
254;Lorena Flores;R3A-345;4/11/2023;Procesado
790;Miguel Mendoza;J8C-327;4/11/2023;Procesado
180;Roberto Campos;S9P-358;4/11/2023;Procesado
445;Felipe Figueroa;L4S-789;4/11/2023;Pendiente
141;Alberto Rodríguez;S8U-571;4/11/2023;Procesado
827;Jorge Sánchez;D2O-209;4/11/2023;Procesado
870;Teresa Molina;P3H-133;4/11/2023;Pendiente
209;Jorge Gómez;O5L-428;4/11/2023;Pendiente
418;Gonzalo Suárez;M8J-887;4/11/2023;Pendiente
158;Luis Miranda;Z8W-546;4/11/2023;Pendiente
667;María Suárez;J3P-775;4/11/2023;Procesado
981;José Morales;L1D-907;4/11/2023;Procesado
953;Antonio Chavez;N2G-573;4/11/2023;Pendiente
259;Luis Sánchez;Y7K-645;4/11/2023;Procesado
340;Lorena Andrade;A9I-766;4/11/2023;Pendiente
675;Victoria Hernández;B5X-196;4/11/2023;Pendiente
450;Isabel López;C5X-249;4/11/2023;Pendiente
934;Eva Rojas;W7Z-575;4/11/2023;Pendiente
80;Paula Fernández;L6N-628;4/11/2023;Pendiente
879;Paula Almeida;C7A-424;4/11/2023;Procesado
876;Raúl Díaz;U7C-410;4/11/2023;Pendiente
551;José Ruiz;X1W-708;4/11/2023;Pendiente
926;Javier Castro;D2K-573;4/11/2023;Pendiente
240;Beatriz Figueroa;C6Y-943;4/11/2023;Procesado
56;David Ruiz;D8P-766;4/11/2023;Procesado
161;Carlos Santos;O2H-100;4/11/2023;Procesado
373;Ángel Calderón;S4C-236;4/11/2023;Procesado
982;Gonzalo Molina;Z1W-834;4/11/2023;Procesado
710;Santiago Vega;Y2P-999;4/11/2023;Pendiente
759;Paula Martínez;C3K-861;4/11/2023;Pendiente
765;Paula Ramírez;W4H-466;4/11/2023;Procesado
943;Pedro Ortiz;M3R-761;4/11/2023;Procesado
482;Gonzalo González;F8T-204;4/11/2023;Procesado
787;Raquel Vega;N2M-133;4/11/2023;Procesado
334;Antonio Miranda;A6U-995;4/11/2023;Procesado
454;Raúl Medina;Z1J-725;4/11/2023;Pendiente
927;Pablo Figueroa;N1V-357;4/11/2023;Procesado
214;Ana Aguilar;O4B-867;4/11/2023;Pendiente
599;Carlos Ortega;M3U-475;5/11/2023;Pendiente
9;Manuel Núñez;S6T-711;5/11/2023;Procesado
621;Clara Romero;J4U-578;5/11/2023;Pendiente
470;Carmen Ibáñez;K7F-980;5/11/2023;Pendiente
88;Manuel Rojas;W8F-816;5/11/2023;Procesado
123;Alberto Ramírez;S4B-954;5/11/2023;Procesado
293;Ángel Fernández;P4A-387;5/11/2023;Pendiente
643;Jorge Vega;I6E-606;5/11/2023;Procesado
554;Lorena Aguilar;F4V-334;5/11/2023;Procesado
564;Laura Suárez;F3W-911;5/11/2023;Procesado
484;Marta Suárez;R5P-247;5/11/2023;Pendiente
217;Sofía Andrade;T1E-179;5/11/2023;Procesado
499;Elena Mendoza;H7X-330;5/11/2023;Pendiente
315;Rosa Rivas;Q3V-954;5/11/2023;Procesado
368;Sofía Aguilar;Y7J-449;5/11/2023;Procesado
408;Pablo González;H9T-334;5/11/2023;Procesado
732;Elena Núñez;F7X-962;5/11/2023;Pendiente
118;Diego Rivas;V2M-674;5/11/2023;Procesado
696;Paula Silva;X9Q-111;5/11/2023;Pendiente
107;Mateo Flores;I2I-665;5/11/2023;Procesado
11;Teresa Rodríguez;J9W-393;5/11/2023;Procesado
426;Carlos Santos;V1T-346;6/11/2023;Pendiente
517;Elena Campos;Y5P-303;6/11/2023;Pendiente
794;Manuel Núñez;Y2P-260;6/11/2023;Pendiente
620;Santiago Ibáñez;Q9J-464;6/11/2023;Pendiente
431;Elena Fernández;F7P-321;6/11/2023;Pendiente
586;Alberto González;G9H-528;6/11/2023;Pendiente
270;Beatriz Santos;M9I-854;6/11/2023;Procesado
155;Gonzalo Santos;B9P-912;6/11/2023;Procesado
109;Pedro Ortega;H2Q-377;6/11/2023;Procesado
872;Javier Ortiz;K6U-789;6/11/2023;Pendiente
491;Sofía López;E9Z-914;6/11/2023;Pendiente
607;Rocío Rodríguez;V7A-955;6/11/2023;Pendiente
696;Juan Ortega;C7E-916;6/11/2023;Procesado
152;Lucía Cabrera;L9T-396;6/11/2023;Pendiente
606;Alejandra Santos;J7G-647;6/11/2023;Pendiente
658;Lorena Ruiz;U6E-838;6/11/2023;Procesado
947;Pablo Campos;N2S-298;6/11/2023;Pendiente
118;Lorena González;S7C-749;6/11/2023;Procesado
152;Manuel Ibáñez;D2E-229;6/11/2023;Procesado
790;Lourdes Vargas;I2R-690;6/11/2023;Pendiente
671;Victoria Rojas;B9A-764;6/11/2023;Pendiente
86;José Sánchez;B4J-292;6/11/2023;Procesado
92;Patricia Machado;W6M-141;6/11/2023;Pendiente
783;Mateo Vega;D5A-995;6/11/2023;Procesado
980;Raúl Almeida;I2K-108;6/11/2023;Pendiente
856;Gonzalo Romero;H7P-264;6/11/2023;Procesado
911;Marta Torres;E5J-526;6/11/2023;Procesado
509;María Silva;V1A-264;6/11/2023;Procesado
511;Luis Pereira;Y6P-849;6/11/2023;Procesado
345;Ángel Gutiérrez;Q4D-320;6/11/2023;Pendiente
573;Carlos Machado;S6K-235;6/11/2023;Procesado
119;Santiago Vargas;E9T-265;7/11/2023;Procesado
559;Javier Jiménez;I1K-652;7/11/2023;Procesado
158;Raquel Morales;M3Z-631;7/11/2023;Pendiente
855;Ángel Suárez;Z3D-512;7/11/2023;Procesado
50;Lourdes Campos;C6N-642;7/11/2023;Procesado
558;Javier Sánchez;E5G-139;7/11/2023;Procesado
649;Victoria Romero;N2W-554;7/11/2023;Pendiente
910;Lorena González;C5J-415;7/11/2023;Procesado
654;Gonzalo Morales;L3F-791;7/11/2023;Procesado
227;Antonio González;X1V-952;7/11/2023;Pendiente
47;Raquel Gómez;K4V-734;7/11/2023;Pendiente
320;Lorena Morales;E3H-999;7/11/2023;Procesado
792;Teresa Pérez;S1E-509;7/11/2023;Pendiente
154;Rosa Mendoza;Q6K-420;7/11/2023;Procesado
395;Eva Sánchez;M2U-538;7/11/2023;Procesado
277;Raquel Morales;F3K-553;7/11/2023;Procesado
957;María Medina;L2Q-150;7/11/2023;Pendiente
709;José Ferreira;P8N-308;7/11/2023;Pendiente
96;Rocío Calderón;H9S-813;7/11/2023;Pendiente
920;Mateo González;U2E-150;7/11/2023;Procesado
272;Javier Morales;X6K-746;8/11/2023;Procesado
503;Pablo Vargas;Z8Z-368;8/11/2023;Procesado
298;Silvia Cabrera;G9F-990;8/11/2023;Pendiente
844;Rosa Morales;Z4P-966;8/11/2023;Procesado
339;Patricia Rivas;O6A-698;8/11/2023;Procesado
840;Ángel Silva;W8E-219;8/11/2023;Procesado
570;Sofía Montes;N9I-628;8/11/2023;Pendiente
277;Fernando Campos;X5P-375;8/11/2023;Pendiente
763;Gabriel Andrade;H5O-655;8/11/2023;Procesado
329;Patricia Aguilar;E3F-681;8/11/2023;Pendiente
101;Rosa Vega;M4F-593;8/11/2023;Procesado
907;Javier Gutiérrez;F8P-615;8/11/2023;Pendiente
627;Patricia Vargas;U7D-559;8/11/2023;Pendiente
705;Lorena Pérez;R3Q-235;8/11/2023;Pendiente
858;Roberto Figueroa;Z8Z-195;8/11/2023;Procesado
741;Clara Molina;G5A-861;8/11/2023;Procesado
396;Carlos Ruiz;P2P-339;8/11/2023;Pendiente
421;Lorena Ramírez;H3B-459;8/11/2023;Pendiente
267;Victoria Alvarez;G7Z-223;8/11/2023;Procesado
350;Diego Vega;Q1H-901;8/11/2023;Pendiente
696;Roberto Santos;E2O-234;8/11/2023;Pendiente
98;Pedro Sánchez;C3A-841;8/11/2023;Procesado
180;Rocío Suárez;M1L-775;8/11/2023;Pendiente
760;Gabriel Jiménez;P6M-205;8/11/2023;Procesado
620;Laura Chavez;W5K-888;8/11/2023;Procesado
557;David Torres;Z8X-315;8/11/2023;Procesado
37;Carlos Ramírez;G4R-964;8/11/2023;Procesado
146;David Vasquez;P7Q-247;8/11/2023;Procesado
151;Silvia Sánchez;P9Z-683;8/11/2023;Pendiente
741;Manuel Hernández;C8H-173;8/11/2023;Pendiente
844;Fernando Vega;S2X-967;8/11/2023;Procesado
457;Gonzalo Ramírez;N1W-214;8/11/2023;Procesado
307;Clara Cruz;Y3I-224;8/11/2023;Procesado
889;Pedro Vargas;C6W-814;8/11/2023;Procesado
45;Rosa Montes;V6Q-190;8/11/2023;Procesado
329;Victoria Morales;O3Q-978;8/11/2023;Pendiente
48;Gabriel Díaz;P5D-804;8/11/2023;Pendiente
838;Juan Ferreira;P9O-939;8/11/2023;Pendiente
387;Paula Montes;I9Y-682;8/11/2023;Procesado
818;Eva Núñez;H9E-131;8/11/2023;Procesado
170;Ana Figueroa;Q6S-870;8/11/2023;Pendiente
846;Carlos Andrade;Y6N-663;8/11/2023;Procesado
890;Gonzalo Calderón;T1K-766;8/11/2023;Procesado
414;María Aguilar;L4P-921;8/11/2023;Procesado
7;Carlos Sánchez;Y4H-293;8/11/2023;Pendiente
491;Ana Almeida;Z6Y-196;8/11/2023;Pendiente
61;Mateo Calderón;Y8X-982;8/11/2023;Procesado
667;Sofía Sánchez;V7K-880;8/11/2023;Procesado
260;Victoria Gutiérrez;E4R-749;8/11/2023;Procesado
750;Roberto Pereira;P9R-913;8/11/2023;Procesado
875;Miguel Rojas;D3M-427;8/11/2023;Pendiente
250;David Montes;Z3D-752;8/11/2023;Procesado
496;Manuel Pérez;O3F-762;8/11/2023;Procesado
375;Patricia Chavez;D6C-976;8/11/2023;Pendiente
593;María Sánchez;A6U-552;8/11/2023;Procesado
525;Victoria Ibáñez;I5F-866;9/11/2023;Procesado
388;Santiago Ortega;S3X-693;9/11/2023;Procesado
153;Alberto Romero;E1X-111;9/11/2023;Pendiente
898;Sofía Ruiz;D9R-983;9/11/2023;Procesado
417;Rocío Suárez;Y4A-254;9/11/2023;Pendiente
924;Patricia Andrade;L3D-489;9/11/2023;Procesado
755;Lorena Molina;O1W-165;9/11/2023;Pendiente
22;Lorena Rivas;N3Q-898;9/11/2023;Procesado
379;Marta Cruz;J9C-451;9/11/2023;Pendiente
951;Gabriel Mendoza;W7E-561;9/11/2023;Procesado
282;Mateo Suárez;A5H-751;9/11/2023;Procesado
127;Teresa Campos;Y9C-707;9/11/2023;Procesado
740;Beatriz Aguilar;T9I-197;9/11/2023;Procesado
673;Eva López;Z7G-926;9/11/2023;Pendiente
664;Lourdes Fernández;I2T-782;9/11/2023;Pendiente
138;Miguel Gómez;B9E-712;9/11/2023;Procesado
482;Marta Pereira;Z8O-955;9/11/2023;Pendiente
472;Teresa Cabrera;O3N-341;9/11/2023;Procesado
93;Lorena Romero;G4O-918;9/11/2023;Procesado
780;Lourdes Morales;O3A-816;9/11/2023;Procesado
88;Beatriz Gutiérrez;P5C-173;9/11/2023;Procesado
885;Rosa Molina;G2H-444;9/11/2023;Procesado
247;Fernando Rodríguez;I4W-286;9/11/2023;Procesado
704;José Pérez;M7I-628;9/11/2023;Pendiente
138;Andrés Pérez;D5P-607;9/11/2023;Procesado
928;Laura Rivas;Q9N-870;9/11/2023;Pendiente
39;Clara Romero;W1M-135;9/11/2023;Pendiente
63;Pablo Ortiz;B8D-880;9/11/2023;Procesado
528;Manuel Ortiz;T1R-666;9/11/2023;Pendiente
257;Felipe Sánchez;J5H-633;9/11/2023;Pendiente
700;Isabel Molina;B1B-974;9/11/2023;Procesado
499;José Vargas;A5P-860;9/11/2023;Pendiente
663;María Vargas;S2T-535;9/11/2023;Pendiente
850;Marta Ferreira;O7E-272;9/11/2023;Pendiente
956;Santiago Gómez;P7A-226;9/11/2023;Pendiente
638;Carmen Rodríguez;Q9Q-376;9/11/2023;Pendiente
268;Pablo Ruiz;W2L-295;9/11/2023;Pendiente
667;José Campos;W1L-546;9/11/2023;Pendiente
421;Beatriz Suárez;Y2L-552;9/11/2023;Pendiente
827;Javier González;R5J-879;9/11/2023;Procesado
97;Teresa Silva;M1C-235;9/11/2023;Procesado
568;Beatriz Vega;F4S-309;9/11/2023;Pendiente
627;José Ferreira;S2Q-851;9/11/2023;Pendiente
512;Andrés Jiménez;C6R-898;9/11/2023;Pendiente
691;Clara Calderón;Z3M-445;9/11/2023;Pendiente
806;Marta Figueroa;P8U-352;9/11/2023;Procesado
895;Javier Sánchez;T7H-146;9/11/2023;Procesado
81;Beatriz Hernández;N4P-931;9/11/2023;Procesado
426;Rosa Hernández;S8M-723;10/11/2023;Pendiente
341;Antonio Gómez;M2V-614;10/11/2023;Procesado
297;Alberto Aguilar;D2K-444;10/11/2023;Pendiente
880;Roberto Gutiérrez;X2J-261;10/11/2023;Pendiente
763;Lorena Silva;F6F-547;10/11/2023;Procesado
152;Patricia Martínez;B9S-119;10/11/2023;Pendiente
690;Santiago Ferreira;K6X-165;10/11/2023;Pendiente
898;Ana Almeida;S9T-667;10/11/2023;Procesado
137;Diego Cruz;Z3O-611;10/11/2023;Pendiente
147;Carmen Ruiz;L2E-375;10/11/2023;Pendiente
610;Santiago Almeida;J2W-831;10/11/2023;Procesado
797;Victoria Montes;Q4G-107;10/11/2023;Pendiente
61;Patricia Martínez;M8D-829;10/11/2023;Procesado
595;Jorge Aguilar;H6D-520;10/11/2023;Procesado
562;Beatriz Figueroa;W4Y-455;10/11/2023;Procesado
927;Carmen Jiménez;W2Q-416;10/11/2023;Pendiente
418;Marta Romero;B7J-724;10/11/2023;Procesado
460;Silvia Pereira;B2D-970;10/11/2023;Pendiente
461;Teresa Vega;R1Q-802;10/11/2023;Procesado
414;Gonzalo Flores;M4J-744;10/11/2023;Pendiente
745;Fernando Ramírez;W3V-142;10/11/2023;Procesado
910;Fernando Aguilar;F9H-754;10/11/2023;Pendiente
23;Paula Mendoza;V8M-484;10/11/2023;Pendiente
722;Juan Martínez;Q4Q-813;10/11/2023;Pendiente
663;José Molina;W2B-830;10/11/2023;Procesado
595;Roberto Romero;W4A-190;10/11/2023;Procesado
901;Alejandra Martínez;M4H-238;10/11/2023;Pendiente
877;Fernando Ortega;R4S-420;10/11/2023;Procesado
743;Teresa Silva;Q1E-768;10/11/2023;Procesado
550;Javier Chavez;Z1V-757;10/11/2023;Pendiente
294;Ángel Gómez;Q3J-971;10/11/2023;Pendiente
50;Eva González;G7T-699;10/11/2023;Pendiente
829;Rosa Ferreira;U1U-614;10/11/2023;Pendiente
361;Andrés Ferreira;L4Q-166;10/11/2023;Procesado
538;Ángel Ortiz;B9U-840;10/11/2023;Procesado
874;Luis Cruz;X6I-395;10/11/2023;Procesado
261;Luis Alvarez;W3A-884;10/11/2023;Pendiente
956;Ana Santos;O6A-670;10/11/2023;Procesado
405;Luis Silva;I4U-894;10/11/2023;Pendiente
246;Manuel Andrade;U2H-705;10/11/2023;Procesado
781;Teresa Ortiz;H6C-443;10/11/2023;Procesado
569;Paula Castro;O6I-368;10/11/2023;Procesado
221;Natalia Vargas;V2S-367;10/11/2023;Pendiente
486;Andrés Mendoza;O2C-680;10/11/2023;Pendiente
357;Rosa Ruiz;Y3P-180;10/11/2023;Pendiente
393;Pablo Chavez;R5B-505;10/11/2023;Pendiente
517;María Torres;I3H-378;10/11/2023;Procesado
640;Juan Mendoza;X3O-623;10/11/2023;Procesado
271;Santiago Cruz;K4P-204;10/11/2023;Procesado
820;Roberto Romero;Q6I-898;10/11/2023;Pendiente
22;Javier Ortega;O1A-634;11/11/2023;Pendiente
455;Beatriz Martínez;Y4N-509;11/11/2023;Pendiente
338;Lorena Romero;P4W-310;11/11/2023;Procesado
566;Felipe Figueroa;Y7Q-234;11/11/2023;Pendiente
121;Beatriz Calderón;N7M-461;11/11/2023;Procesado
115;Marta Calderón;B7G-797;11/11/2023;Procesado
685;Gonzalo Andrade;Y8L-391;11/11/2023;Pendiente
988;Elena Vega;Q7T-914;11/11/2023;Procesado
927;Fernando Gutiérrez;P1D-762;11/11/2023;Pendiente
5;Teresa Chavez;S8Z-210;11/11/2023;Procesado
177;Javier Díaz;G8G-727;11/11/2023;Pendiente
509;Raquel Hernández;Y4N-965;11/11/2023;Pendiente
369;Fernando Flores;H2F-222;11/11/2023;Procesado
911;Mateo Cabrera;P1Q-350;11/11/2023;Procesado
940;David Medina;T2P-771;11/11/2023;Pendiente
549;Patricia Gómez;Q1Q-569;11/11/2023;Procesado
672;Carmen Ruiz;U8G-558;11/11/2023;Procesado
89;Elena Figueroa;T2J-157;11/11/2023;Pendiente
113;Jorge Morales;Y3H-380;11/11/2023;Pendiente
448;David Pérez;K4I-955;11/11/2023;Procesado
163;Natalia Rivas;G1K-886;11/11/2023;Pendiente
955;Diego Vasquez;I1M-217;11/11/2023;Pendiente
506;Felipe Vasquez;B4B-948;11/11/2023;Pendiente
690;Rocío Machado;C9A-322;11/11/2023;Pendiente
72;Paula Santos;R5Y-939;11/11/2023;Pendiente
144;Felipe Martínez;U2U-358;11/11/2023;Procesado
494;Ana Aguilar;X9D-627;11/11/2023;Pendiente
669;Roberto Pereira;N4E-310;11/11/2023;Pendiente
845;David Campos;L5A-339;12/11/2023;Pendiente
439;Santiago Vega;I7Z-509;12/11/2023;Procesado
158;David Ferreira;M1G-447;12/11/2023;Pendiente
141;Rocío González;O4J-634;12/11/2023;Pendiente
910;Isabel González;S5G-910;12/11/2023;Procesado
107;Roberto Martínez;Z6K-301;12/11/2023;Pendiente
230;Jorge Ibáñez;W9W-890;12/11/2023;Pendiente
461;Isabel Figueroa;S3L-783;12/11/2023;Pendiente
331;Natalia Machado;V6D-692;12/11/2023;Pendiente
297;Marta González;G9I-506;12/11/2023;Pendiente
213;Miguel Silva;T6E-209;12/11/2023;Procesado
454;Gonzalo Machado;C9J-491;12/11/2023;Pendiente
915;Teresa Medina;B6W-191;12/11/2023;Pendiente
687;Diego Fernández;M5N-568;12/11/2023;Pendiente
396;Eva Torres;C7N-819;12/11/2023;Procesado
551;Miguel Martínez;X3H-844;12/11/2023;Procesado
792;Miguel González;F7D-834;12/11/2023;Procesado
360;Jorge Santos;N4W-956;12/11/2023;Pendiente
225;Teresa Vasquez;K7S-614;12/11/2023;Pendiente
803;Ángel Sánchez;B2S-302;12/11/2023;Pendiente
795;Raúl Núñez;M7Y-998;12/11/2023;Pendiente
967;Beatriz Campos;F6J-773;12/11/2023;Pendiente
832;Victoria Silva;L4S-298;12/11/2023;Procesado
396;Ángel Ortega;Q1N-516;12/11/2023;Procesado
899;Laura Almeida;I2G-734;12/11/2023;Procesado
724;Carmen Díaz;S5N-848;12/11/2023;Procesado
234;Jorge Torres;V4C-764;12/11/2023;Pendiente
464;Mateo Hernández;W5C-247;13/11/2023;Procesado
785;Beatriz González;H8O-470;13/11/2023;Pendiente
163;Carmen Hernández;D5E-574;13/11/2023;Pendiente
612;María Suárez;J9N-983;13/11/2023;Procesado
964;Laura Flores;Y4T-643;13/11/2023;Procesado
359;Lorena Silva;D5F-797;13/11/2023;Procesado
947;Teresa Fernández;I2J-783;13/11/2023;Procesado
643;Carlos Hernández;J5F-200;13/11/2023;Procesado
693;María Ramírez;F9Z-554;13/11/2023;Pendiente
10;Rosa Montes;L5G-709;13/11/2023;Pendiente
673;David Romero;V8H-278;13/11/2023;Procesado
775;Felipe Gómez;P4D-643;13/11/2023;Procesado
898;Rocío Miranda;Q1H-148;13/11/2023;Procesado
160;Raquel Figueroa;R8W-414;13/11/2023;Procesado
144;Beatriz Ortiz;G4F-474;13/11/2023;Procesado
503;Raquel Martínez;T2Y-289;13/11/2023;Pendiente
353;Alejandra Torres;H1Z-827;13/11/2023;Procesado
510;Miguel Cruz;Z6U-614;13/11/2023;Pendiente
665;Paula Machado;P1P-876;13/11/2023;Procesado
692;Lourdes Cruz;W4P-367;13/11/2023;Procesado
188;Carlos Chavez;S9M-677;13/11/2023;Procesado
811;Manuel Sánchez;T7Y-483;13/11/2023;Pendiente
963;Pedro González;W7P-262;13/11/2023;Pendiente
667;Teresa Gutiérrez;L3D-549;13/11/2023;Pendiente
980;Patricia Calderón;I5R-461;13/11/2023;Procesado
912;Sofía Castro;D1C-558;13/11/2023;Pendiente
494;Elena Romero;P8P-938;13/11/2023;Pendiente
778;Patricia Vargas;J3C-419;13/11/2023;Procesado
849;Alejandra Díaz;X5M-206;13/11/2023;Pendiente
182;José Campos;C6C-910;13/11/2023;Procesado
608;Beatriz Ramírez;W8P-317;13/11/2023;Pendiente
115;Mateo Morales;C5U-811;13/11/2023;Procesado
793;Roberto Molina;F3Y-750;13/11/2023;Procesado
662;Lorena Ruiz;J6D-220;13/11/2023;Procesado
659;Roberto Ramírez;I8F-712;13/11/2023;Pendiente
356;Marta Jiménez;H6Y-472;13/11/2023;Pendiente
467;Eva Almeida;A4K-677;13/11/2023;Pendiente
287;Paula Castro;R4D-943;13/11/2023;Procesado
845;José Jiménez;O3U-187;13/11/2023;Pendiente
958;Carmen Vega;K3C-545;13/11/2023;Procesado
505;Pedro Medina;V4E-812;13/11/2023;Pendiente
709;Roberto Suárez;O1H-556;13/11/2023;Procesado
250;María Romero;Z8B-549;13/11/2023;Pendiente
993;Lourdes Ferreira;B3W-826;13/11/2023;Pendiente
78;Marta Cruz;Y2E-250;13/11/2023;Pendiente
287;Luis Machado;T1E-331;13/11/2023;Procesado
433;Juan Medina;T9D-281;13/11/2023;Procesado
285;Sofía Vega;P2Q-782;13/11/2023;Procesado
